FUNCTIONAL  SYSTEM  TRAVEL - 2019 (1),,,,,,,,,,,,,,,,,
ANNUAL  VEHICLE - MILES,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"September 30, 2020                                ",,,,,,,,( MILLIONS ),,,,,,,,,TABLE  VM-2
,RURAL,,,,,,,,URBAN,,,,,,,,
,,OTHER,OTHER,,,,,,,OTHER,OTHER,,,,,,
STATE,INTERSTATE,FREEWAYS  AND,PRINCIPAL,MINOR,MAJOR,MINOR,LOCAL,TOTAL,INTERSTATE,FREEWAYS  AND,PRINCIPAL,MINOR,MAJOR,MINOR,LOCAL,TOTAL,TOTAL
,,EXPRESSWAYS,ARTERIAL,ARTERIAL,COLLECTOR,COLLECTOR,,,,EXPRESSWAYS,ARTERIAL,ARTERIAL,COLLECTOR,COLLECTOR,,,
U.S. Total," 261,644 "," 38,720 "," 197,630 "," 147,457 "," 164,153 "," 42,615 "," 131,633 "," 983,853 "," 575,753 "," 254,877 "," 483,557 "," 418,151 "," 217,681 "," 22,355 "," 305,544 "," 2,277,919 "," 3,261,772 "
Puerto Rico, 490 , -, 210 , 245 , 136 , 0 , 0 ," 1,082 "," 4,716 ", 912 ," 3,041 "," 3,007 "," 1,935 ", -, 16 ," 13,628 "," 14,710 "
Grand Total," 262,134 "," 38,720 "," 197,841 "," 147,703 "," 164,289 "," 42,615 "," 131,633 "," 984,935 "," 580,469 "," 255,789 "," 486,599 "," 421,158 "," 219,616 "," 22,355 "," 305,560 "," 2,291,547 "," 3,276,482 "
(1)  Travel for the rural minor collector and rural/urban local functional systems is estimated by the States based on a model or other means and provided,,,,,,,,,,,,,,,,,
to the FHWA on a summary basis.  Travel for all other systems are estimated from State-provided data in the Highway Performance Monitoring System.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
