PUBLIC  ROAD  LENGTH - 2017,,,,,,,,,,,,,,,,,,
MILES  BY  FUNCTIONAL SYSTEM,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"August 23, 2018                                   ",,,,,,,,,,,,,,,,,TABLE HM-20,
,RURAL,,,,,,,,URBAN,,,,,,,,,
,,OTHER,OTHER,,,,,,,OTHER,OTHER,,,,,,,
STATE,INTERSTATE,FREEWAYS  AND,PRINCIPAL,MINOR,MAJOR,MINOR,LOCAL,TOTAL,INTERSTATE,FREEWAYS  AND,PRINCIPAL,MINOR,MAJOR,MINOR,LOCAL,TOTAL,TOTAL,
,,EXPRESSWAYS,ARTERIAL,ARTERIAL,COLLECTOR,COLLECTOR,,,,EXPRESSWAYS,ARTERIAL,ARTERIAL,COLLECTOR,COLLECTOR,,,,
Oklahoma, 646 , 2 ," 2,248 "," 2,675 "," 21,042 "," 3,007 "," 64,846 "," 94,467 ", 286 , 205 ," 1,173 "," 2,264 "," 1,548 ", 137 ," 12,784 "," 18,398 "," 112,865 ",
Oregon, 495 , -," 2,657 "," 2,225 "," 8,174 "," 7,931 "," 42,740 "," 64,221 ", 234 , 64 , 856 ," 1,285 "," 2,125 ", 495 ," 9,995 "," 15,054 "," 79,275 ",
Pennsylvania," 1,086 ", 344 ," 1,593 "," 4,590 "," 7,339 "," 6,960 "," 50,847 "," 72,759 ", 775 , 565 ," 2,798 "," 3,941 "," 5,705 ", -," 33,979 "," 47,762 "," 120,521 ",
Rhode Island, 18 , 11 , 97 , 72 , 172 , 149 , 823 ," 1,342 ", 52 , 81 , 342 , 343 , 540 , 33 ," 3,293 "," 4,685 "," 6,027 ",
South Carolina, 546 , 45 ," 1,546 "," 2,982 "," 10,022 "," 2,032 "," 38,870 "," 56,042 ", 304 , 84 ," 1,064 "," 1,777 "," 2,818 ", 74 ," 15,201 "," 21,322 "," 77,364 ",
South Dakota, 591 , 291 ," 2,592 "," 2,962 "," 12,403 "," 6,250 "," 54,074 "," 79,163 ", 88 , 18 , 137 , 435 , 350 , -," 2,393 "," 3,421 "," 82,584 ",
Tennessee, 644 , 14 ," 1,784 "," 2,947 "," 5,014 "," 9,645 "," 44,150 "," 64,199 ", 557 , 173 ," 1,910 "," 2,697 "," 2,681 "," 1,212 "," 22,559 "," 31,788 "," 95,986 ",
Texas," 2,001 ", 128 ," 8,407 "," 10,540 "," 35,135 "," 14,839 "," 134,454 "," 205,503 "," 1,459 "," 1,405 "," 6,150 "," 7,996 "," 15,771 "," 1,122 "," 74,915 "," 108,817 "," 314,319 ",
Utah, 684 , 9 ," 1,162 "," 1,315 "," 3,250 "," 3,473 "," 28,223 "," 38,115 ", 253 , 49 , 656 , 677 ," 1,109 ", 534 ," 7,897 "," 11,175 "," 49,290 ",
Vermont, 256 , 2 , 330 , 735 ," 1,972 ", 903 ," 8,557 "," 12,753 ", 64 , 16 , 126 , 148 , 247 , 32 , 867 ," 1,501 "," 14,255 ",
Virginia, 598 , 92 ," 1,638 "," 3,594 "," 7,441 "," 4,922 "," 30,410 "," 48,695 ", 521 , 355 ," 1,353 "," 2,290 "," 2,558 ", 755 ," 18,711 "," 26,543 "," 75,238 ",
Washington, 429 , 612 ," 1,313 "," 2,021 "," 8,090 "," 6,261 "," 37,524 "," 56,250 ", 335 , 421 ," 1,443 "," 2,726 "," 2,752 ", 205 ," 16,297 "," 24,179 "," 80,429 ",
West Virginia, 319 , 0 ," 1,016 "," 1,347 "," 5,524 "," 2,154 "," 21,841 "," 32,202 ", 235 , 14 , 399 , 720 , 901 , 61 ," 4,320 "," 6,652 "," 38,854 ",
Wisconsin, 512 , 203 ," 2,876 "," 4,744 "," 12,080 "," 8,468 "," 62,811 "," 91,695 ", 364 , 340 ," 1,942 "," 2,711 "," 2,998 ", -," 15,497 "," 23,852 "," 115,547 ",
Wyoming, 807 , -," 1,983 "," 1,227 "," 2,743 "," 9,601 "," 11,299 "," 27,662 ", 106 , 3 , 221 , 249 , 504 , 92 ," 1,593 "," 2,768 "," 30,430 ",
U.S. Total," 29,162 "," 6,589 "," 89,766 "," 134,075 "," 407,906 "," 261,324 "," 2,016,682 "," 2,945,505 "," 19,092 "," 12,152 "," 66,316 "," 112,569 "," 129,031 "," 17,631 "," 863,054 "," 1,219,844 "," 4,165,349 ",
Puerto Rico, 44 , -, 47 , 226 , 242 , 242 ," 2,390 "," 3,191 ", 257 , 56 , 395 , 941 ," 1,203 ", -," 12,315 "," 15,168 "," 18,359 ",
Grand Total," 29,206 "," 6,589 "," 89,812 "," 134,301 "," 408,148 "," 261,566 "," 2,019,072 "," 2,948,696 "," 19,350 "," 12,208 "," 66,711 "," 113,510 "," 130,234 "," 17,631 "," 875,369 "," 1,235,011 "," 4,183,707 ",
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
