PUBLIC  ROAD  LENGTH - 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MILES  BY  FUNCTIONAL SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DECEMBER 2016,,,,,,,,,,,,,,,,,TABLE HM-20,,,,,,,,,,,,,,,,,,
,RURAL,,,,,,,,URBAN,,,,,,,,,,,,,,,,,,,,,,,,,,
,,OTHER,OTHER,,,,,,,OTHER,OTHER,,,,,,,,,,,,,,,,,,,,,,,,
STATE,INTERSTATE,FREEWAYS  AND,PRINCIPAL,MINOR,MAJOR,MINOR,LOCAL,TOTAL,INTERSTATE,FREEWAYS  AND,PRINCIPAL,MINOR,MAJOR,MINOR,LOCAL,TOTAL,TOTAL,,,,,,,,,,,,,,,,,,
,,EXPRESSWAYS,ARTERIAL,ARTERIAL,COLLECTOR,COLLECTOR,,,,EXPRESSWAYS,ARTERIAL,ARTERIAL,COLLECTOR,COLLECTOR,,,,,,,,,,,,,,,,,,,,,
Rhode Island, 18 , 11 , 97 , 72 , 172 , 149 , 842 ," 1,361 ", 52 , 80 , 343 , 343 , 540 , 33 ," 3,295 "," 4,686 "," 6,046 ",,,,,,,,,,,,,,,,,,
South Carolina, 546 , 45 ," 1,546 "," 2,986 "," 10,022 "," 2,044 "," 40,492 "," 57,681 ", 304 , 84 ," 1,064 "," 1,769 "," 2,821 ", 73 ," 12,454 "," 18,569 "," 76,250 ",,,,,,,,,,,,,,,,,,
South Dakota, 591 , 291 ," 2,593 "," 2,962 "," 12,421 "," 6,246 "," 54,091 "," 79,193 ", 88 , 18 , 134 , 431 , 351 , -," 2,360 "," 3,383 "," 82,576 ",,,,,,,,,,,,,,,,,,
Tennessee, 573 , -," 1,737 "," 2,969 "," 4,933 "," 9,843 "," 44,279 "," 64,336 ", 531 , 165 ," 1,795 "," 2,710 "," 2,391 "," 1,030 "," 22,679 "," 31,301 "," 95,637 ",,,,,,,,,,,,,,,,,,
Texas," 2,001 ", 4 ," 8,438 "," 10,465 "," 35,080 "," 14,947 "," 134,288 "," 205,222 "," 1,416 "," 1,511 "," 6,083 "," 7,957 "," 15,820 "," 1,067 "," 74,520 "," 108,373 "," 313,596 ",,,,,,,,,,,,,,,,,,
Utah, 684 , 9 ," 1,164 "," 1,321 "," 3,261 "," 3,558 "," 25,249 "," 35,246 ", 253 , 44 , 650 , 660 ," 1,106 ", 375 ," 7,964 "," 11,052 "," 46,299 ",,,,,,,,,,,,,,,,,,
Vermont, 259 , 2 , 312 , 728 ," 1,988 ", 869 ," 8,634 "," 12,791 ", 62 , 16 , 113 , 151 , 240 , 16 , 864 ," 1,462 "," 14,252 ",,,,,,,,,,,,,,,,,,
Virginia, 469 , 88 ," 1,297 "," 3,183 "," 7,254 "," 4,875 "," 30,106 "," 47,273 ", 653 , 359 ," 1,725 "," 2,711 "," 2,733 ", 770 ," 18,838 "," 27,789 "," 75,061 ",,,,,,,,,,,,,,,,,,
Washington, 429 , 614 ," 1,312 "," 2,021 "," 8,089 "," 6,245 "," 37,595 "," 56,305 ", 335 , 417 ," 1,441 "," 2,712 "," 2,744 ", 187 ," 16,197 "," 24,033 "," 80,338 ",,,,,,,,,,,,,,,,,,
West Virginia, 309 , 9 , 995 ," 1,310 "," 5,366 "," 2,124 "," 21,515 "," 31,627 ", 245 , 14 , 416 , 763 ," 1,050 ", 90 ," 4,565 "," 7,143 "," 38,770 ",,,,,,,,,,,,,,,,,,
