FUNCTIONAL  SYSTEM  TRAVEL - 2017 (1),,,,,,,,,,,,,,,,,,
ANNUAL  VEHICLE - MILES,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
MAY 2020,,,,,,,,( MILLIONS ),,,,,,,,,TABLE  VM-2,
,RURAL,,,,,,,,URBAN,,,,,,,,,
,,OTHER,OTHER,,,,,,,OTHER,OTHER,,,,,,,
STATE,INTERSTATE,FREEWAYS  AND,PRINCIPAL,MINOR,MAJOR,MINOR,LOCAL,TOTAL,INTERSTATE,FREEWAYS  AND,PRINCIPAL,MINOR,MAJOR,MINOR,LOCAL,TOTAL,TOTAL,
,,EXPRESSWAYS,ARTERIAL,ARTERIAL,COLLECTOR,COLLECTOR,,,,EXPRESSWAYS,ARTERIAL,ARTERIAL,COLLECTOR,COLLECTOR,,,,
Oklahoma," 5,419 ", 25 ," 5,355 "," 3,005 "," 5,640 ", 180 ," 2,588 "," 22,212 "," 5,701 "," 3,228 "," 5,690 "," 5,080 "," 1,580 ", 90 ," 5,819 "," 27,190 "," 49,402 ",
Oregon," 3,928 ", -," 4,182 "," 1,827 "," 1,814 ", 753 ," 2,043 "," 14,547 "," 5,676 "," 1,447 "," 5,638 "," 4,370 "," 2,692 ", 272 ," 2,112 "," 22,206 "," 36,753 ",
Pennsylvania," 10,781 "," 2,062 "," 4,205 "," 6,547 "," 4,155 "," 1,834 "," 5,419 "," 35,003 "," 15,647 "," 7,524 "," 16,124 "," 11,940 "," 7,694 ", -," 7,683 "," 66,611 "," 101,614 ",
Rhode Island, 320 , 55 , 227 , 108 , 148 , 25 , 21 , 904 ," 1,947 "," 1,248 "," 1,860 "," 1,046 ", 594 , 17 , 384 ," 7,096 "," 8,001 ",
South Carolina," 8,302 ", 280 ," 4,442 "," 4,257 "," 4,696 ", 256 ," 3,052 "," 25,284 "," 7,768 ", 796 ," 8,254 "," 7,055 "," 3,986 ", 37 ," 2,317 "," 30,213 "," 55,497 ",
South Dakota," 2,080 ", 436 ," 1,531 "," 1,016 "," 1,081 ", 148 , 460 ," 6,751 ", 760 , 80 , 494 , 986 , 285 , -, 286 ," 2,891 "," 9,643 ",
Tennessee," 8,302 ", 73 ," 4,676 "," 4,392 "," 2,753 "," 2,603 "," 2,574 "," 25,373 "," 15,401 "," 2,521 "," 13,419 "," 9,025 "," 3,945 ", 782 ," 11,787 "," 56,880 "," 82,253 ",
Texas," 18,616 "," 1,002 "," 22,514 "," 11,984 "," 12,433 "," 1,824 "," 4,520 "," 72,892 "," 50,788 "," 32,522 "," 43,405 "," 32,785 "," 27,518 ", 717 ," 12,353 "," 200,089 "," 272,981 ",
Utah," 3,376 ", 84 ," 1,912 ", 839 , 972 , 270 ," 1,302 "," 8,754 "," 8,094 ", 432 ," 5,595 "," 2,694 "," 1,903 ", 297 ," 3,706 "," 22,721 "," 31,475 ",
Vermont," 1,251 ", 5 , 789 , 972 ," 1,115 ", 214 , 934 ," 5,280 ", 571 , 58 , 566 , 341 , 264 , 26 , 318 ," 2,144 "," 7,424 ",
Virginia," 9,459 ", 645 ," 6,504 "," 5,196 "," 3,754 "," 1,018 "," 2,633 "," 29,209 "," 17,219 "," 5,311 "," 12,742 "," 10,439 "," 4,512 ", 585 ," 5,245 "," 56,054 "," 85,263 ",
Washington," 4,849 "," 1,832 "," 2,391 "," 2,199 "," 3,546 "," 1,085 "," 1,197 "," 17,098 "," 12,221 "," 5,971 "," 9,857 "," 7,795 "," 3,474 ", 128 ," 4,875 "," 44,322 "," 61,420 ",
West Virginia," 2,475 ", 0 ," 2,087 "," 1,430 "," 2,289 ", 361 ," 1,276 "," 9,919 "," 3,485 ", 90 ," 2,149 "," 1,804 ", 892 , 31 , 704 ," 9,153 "," 19,072 ",
Wisconsin," 6,197 "," 1,226 "," 6,835 "," 5,034 "," 7,938 "," 2,114 "," 3,856 "," 33,200 "," 8,214 "," 3,400 "," 9,237 "," 5,636 "," 2,799 ", -," 2,837 "," 32,124 "," 65,324 ",
Wyoming," 2,512 ", -," 1,576 ", 536 , 686 , 965 , 573 ," 6,848 ", 534 , 13 , 794 , 495 , 395 , 52 , 655 ," 2,937 "," 9,785 ",
U.S. Total," 252,550 "," 36,526 "," 190,989 "," 144,878 "," 160,445 "," 44,693 "," 132,906 "," 962,988 "," 567,210 "," 251,152 "," 482,738 "," 410,196 "," 206,209 "," 17,141 "," 312,613 "," 2,247,260 "," 3,210,248 ",
Puerto Rico, 449 , -, 207 , 269 , 151 , 0 , 0 ," 1,076 "," 4,701 ", 963 ," 3,102 "," 3,156 "," 1,996 ", -, 16 ," 13,934 "," 15,010 ",
Grand Total," 252,999 "," 36,526 "," 191,197 "," 145,147 "," 160,595 "," 44,694 "," 132,906 "," 964,064 "," 571,911 "," 252,115 "," 485,841 "," 413,352 "," 208,205 "," 17,141 "," 312,629 "," 2,261,194 "," 3,225,258 ",
(1)  Travel for the rural minor collector and rural/urban local functional systems is estimated by the States based on a model or other means and provided,,,,,,,,,,,,,,,,,,
to the FHWA on a summary basis.  Travel for all other systems are estimated from State-provided data in the Highway Performance Monitoring System.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
