Manufacturer,Permit Number,VIN NUMBER,Annual Total of Disengagements,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,ANNUAL TOTAL
CRUISE LLC,AVDT005,5G21A6P09N4121634,0,0,0,0,0,0,87.61,1105.71,179.99,393.86,880.5,461.16,328.24,3437.07
CRUISE LLC,AVDT005,5G21A6P08N4121642,0,0,0,0,0,0,0,674.21,242.2,55.81,576.09,1216.04,451.81,3216.16
CRUISE LLC,AVDT005,5G21A6P00N4121666,0,0,0,0,0,0,0,759.31,134.35,516.5,312.44,979.05,415.52,3117.17
CRUISE LLC,AVDT005,5G21A6P08N4121608,0,0,0,0,0,21.87,477.77,1144.55,365.57,231.22,383.03,595.11,0,3219.12
CRUISE LLC,AVDT005,5G21A6P05N4121677,0,0,0,0,0,0,0,20.6,334.69,272.15,853.93,582.44,875.2,2939.01
CRUISE LLC,AVDT005,5G21A6P08N4121673,0,0,0,0,0,0,0,956.92,358.3,417.89,376.02,656.01,183.97,2949.11
CRUISE LLC,AVDT005,5G21A6P05N4121646,0,0,0,0,0,0,0,123.52,342.03,295.48,428.32,762.17,905.02,2856.54
CRUISE LLC,AVDT005,5G21A6P07L4100164,0,0,0,0,0,0,1151.58,608.91,620.33,468.07,212.17,0,0,3061.06
CRUISE LLC,AVDT005,5G21A6P0XN4121688,0,0,0,0,0,0,0,0,187.98,243,669.44,923,902.16,2925.58
CRUISE LLC,AVDT005,5G21A6P02N4121667,0,0,0,0,0,0,0,0,60.59,513.5,667.53,600.83,785.18,2627.63
CRUISE LLC,AVDT005,5G21A6P03N4121659,0,0,0,0,0,0,0,754.25,262.89,147.54,699.17,290.16,724.98,2878.99
CRUISE LLC,AVDT005,5G21A6P00N4121649,0,0,0,0,0,0,0,0,76.41,385.28,941.38,393.55,843.55,2640.17
CRUISE LLC,AVDT005,5G21A6P0XN4121612,0,0,0,0,0,0,578.61,650.23,126.08,98.84,252.85,199.58,804.97,2711.16
CRUISE LLC,AVDT005,5G21A6P08N4121639,0,0,0,0,0,0,122.59,798.27,391.87,306.79,268.2,758.59,152.17,2798.48
CRUISE LLC,AVDT005,5G21A6P06N4122109,0,0,0,0,0,0,0,0,278.41,536.11,851.33,215.27,832.96,2714.08
CRUISE LLC,AVDT005,5G21A6P02N4121653,0,0,0,0,0,0,0,0,183.4,161.07,81.84,1206.59,1075.62,2708.52
CRUISE LLC,AVDT005,5G21A6P09N4121617,0,0,0,0,0,163.01,1330.27,916.16,274.96,167.13,0,0,0,2851.53
CRUISE LLC,AVDT005,5G21A6P00N4121697,0,0,0,0,0,0,0,377.92,372.32,86.84,621.88,477.69,715.15,2651.8
CRUISE LLC,AVDT005,5G21A6P04N4121668,0,0,0,0,0,0,0,261.68,125.54,341.24,518.23,315.61,988.89,2551.19
